2020-11-13 07:25:55.040733,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 07:50:09.103939,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 07:55:55.893704,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 08:20:09.951763,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 08:25:56.758754,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 08:50:10.757776,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 08:55:57.587436,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 09:20:11.646011,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 09:25:58.528775,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 09:50:12.469372,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 09:55:59.204820,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 10:20:13.298104,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 10:26:00.105927,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 10:50:14.148742,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 10:56:00.770274,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 11:20:14.983760,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 11:26:01.597810,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 11:50:15.743990,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 11:56:02.360433,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 12:20:16.612906,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 12:26:03.479819,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 12:50:17.478858,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 12:56:04.557419,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 13:20:18.118872,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 13:26:05.414884,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 13:50:18.943995,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 13:56:06.045777,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 14:20:19.785492,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 14:26:06.662754,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 14:50:20.590756,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 14:56:07.505777,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 15:20:21.440759,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 15:26:08.342037,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 15:50:22.234774,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 15:56:09.263667,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 16:20:23.484751,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 16:26:10.132332,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 16:50:24.301900,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 16:56:10.919745,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 17:20:25.165734,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 17:26:11.494747,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 17:50:26.204752,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 17:56:12.402759,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 18:20:27.000755,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 18:26:13.216747,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 18:50:27.856753,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 18:56:14.080754,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 19:20:28.839760,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 19:26:14.597750,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 19:50:29.462542,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 19:56:15.321746,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 20:20:30.464768,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 20:26:16.962759,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 20:50:31.446756,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 20:56:17.669751,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 21:20:32.289579,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 21:26:18.561753,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,60 LP,350W,368L
2020-11-13 21:50:32.978745,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 21:56:19.393903,T1: S8 IS SO FUN,10.5,1.09,Diamond 4,60 LP,350W,368L
2020-11-13 22:20:33.994646,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 22:26:20.269755,T1: S8 IS SO FUN,10.5,1.09,Diamond 4,60 LP,350W,368L
2020-11-13 22:50:34.817025,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 22:56:21.153754,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-13 23:20:35.616762,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 23:26:21.995925,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-13 23:50:36.526753,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 23:56:22.898656,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-14 00:20:37.152734,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-14 00:26:23.728749,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-14 00:50:37.971638,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-14 00:56:25.034749,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-14 01:20:38.850763,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-14 01:26:25.943245,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-14 01:50:39.655782,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-14 01:56:26.776748,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
2020-11-14 02:20:40.274025,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-14 02:26:27.614738,T1: S8 IS SO FUN,10.5,1.32,Diamond 4,31 LP,350W,370L
